Preparation of the Reporter;5
Presentation of the Reporter;10
Clarifying questions<br>from the Opponent;2
Preparation of the Opponent;3
The Opponent's speech;5
Discussion between<br>Reporter and Opponent;5
Clarifying questions<br>from the Moderator;2
Preparation of the Moderator;1
The Moderator's speech;3
Discussion between Reporter<br>Opponent and Moderator;4
General discussion<br>between the teams;5
Concluding remarks<br>by the Reporter;1
Questions from the Jury;6
Jury decides grades;1
Jury feedback;3
