Preparation of the Reporter;5
Presentation of the Reporter;10
Clarifying questions from the Opponent;2
Preparation of the Opponent;3
The Opponent’s speech;5
Discussion between the Reporter and Opponent;5
Clarifying questions from the Reviewer;2
Preparation of the Reviewer;1
The Reviewer’s speech;3
Discussion between Reporter, Opponent and Reviewer;4
General discussion between the teams ;5
Concluding remarks by the Reporter;1
Questions from the Jury;6
Jury decides marks;1
Remarks from the Jury;4
